Time,CH0,CH1,CH2,CH3
17.1198,2.15143e+07,274.236,270.805,270.718
17.12,2.15163e+07,274.236,270.805,270.719
17.1202,2.15183e+07,274.311,270.386,270.713
17.1204,2.15203e+07,274.311,270.386,270.707
17.1206,2.15223e+07,274.445,273.214,270.756
17.1208,2.15243e+07,274.445,273.214,270.804
17.121,2.15263e+07,274.445,269.968,270.788
17.1212,2.15283e+07,274.445,269.968,270.771
17.1214,2.15303e+07,274.251,271.643,270.789
17.1216,2.15323e+07,274.251,271.643,270.805
17.1218,2.15343e+07,274.174,273.842,270.865
17.122,2.15363e+07,274.174,273.842,270.923
17.1222,2.15383e+07,274.242,271.015,270.925
17.1224,2.15403e+07,274.242,271.015,270.927
17.1226,2.15423e+07,274.304,275.832,271.023
17.1228,2.15443e+07,274.304,275.832,271.117
17.123,2.15463e+07,274.701,271.852,271.132
17.1232,2.15483e+07,274.701,271.852,271.146
17.1234,2.15503e+07,274.413,274.785,271.217
17.1236,2.15523e+07,274.413,274.785,271.287
17.1238,2.15543e+07,274.766,269.025,271.243
17.124,2.15563e+07,274.848,270.386,271.226
17.1242,2.15583e+07,274.848,270.386,271.21
17.1244,2.15603e+07,274.659,269.968,271.185
17.1246,2.15623e+07,274.659,269.968,271.161
17.1248,2.15643e+07,274.497,267.559,271.091
17.125,2.15663e+07,274.497,267.559,271.022
17.1252,2.15683e+07,274.297,270.177,271.005
17.1254,2.15703e+07,274.297,270.177,270.989
17.1256,2.15723e+07,274.462,269.968,270.969
17.1258,2.15743e+07,274.462,269.968,270.949
17.126,2.15763e+07,274.582,270.386,270.938
17.1262,2.15783e+07,274.582,270.386,270.927
17.1264,2.15803e+07,274.509,274.261,270.993
17.1266,2.15823e+07,274.509,274.261,271.057
17.1268,2.15843e+07,274.795,271.434,271.064
17.127,2.15863e+07,274.795,271.434,271.071
17.1272,2.15883e+07,274.764,271.643,271.083
17.1274,2.15903e+07,274.764,271.643,271.094
17.1276,2.15923e+07,274.635,267.768,271.028
17.1278,2.15943e+07,274.635,267.768,270.964
17.128,2.15963e+07,274.642,269.968,270.945
17.1282,2.15983e+07,274.642,269.968,270.926
17.1284,2.16003e+07,274.576,271.852,270.944
17.1286,2.16023e+07,274.576,271.852,270.962
17.1288,2.16043e+07,274.584,269.758,270.938
17.129,2.16063e+07,274.584,269.758,270.915
17.1292,2.16083e+07,274.692,272.586,270.948
17.1294,2.16103e+07,274.692,272.586,270.98
17.1296,2.16123e+07,274.702,270.386,270.968
17.1298,2.16143e+07,274.702,270.386,270.957
17.13,2.16163e+07,274.526,271.015,270.958
17.1302,2.16183e+07,274.526,271.015,270.959
17.1304,2.16203e+07,274.609,269.234,270.925
17.1306,2.16223e+07,274.609,269.234,270.892
17.1308,2.16243e+07,274.634,270.596,270.886
17.131,2.16263e+07,274.634,270.596,270.881
17.1312,2.16283e+07,274.573,271.643,270.896
